,CompensationCurrency,GenderSelect,Country,Age,EmploymentStatus,StudentStatus,LearningDataScience,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,LanguageRecommendationSelect,CompensationAmount,ExchangeRate(USA),CompensationYearUSD
3664,USD,Male,United States,NA,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",NA,Doctoral degree,Physics,6 to 10 years,Python,145000,1,145000
3665,USD,Male,United States,23,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by company that makes advanced analytic software,NA,Bachelor's degree,Mathematics or statistics,1 to 2 years,Python,1.00E+05,1,1.00E+05
3666,USD,Female,United States,51,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,Employed by college or university,Yes,Doctoral degree,Management information systems,More than 10 years,R,133000,1,133000
3667,USD,Male,United States,30,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by company that makes advanced analytic software,Sort of (Explain more),Master's degree,A social science,1 to 2 years,Python,50000,1,50000
3668,USD,Male,United States,38,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Poorly,Employed by company that makes advanced analytic software,Yes,Doctoral degree,Electrical Engineering,6 to 10 years,Python,NA,1,NA
3669,USD,Male,United States,46,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by company that makes advanced analytic software,NA,Doctoral degree,Physics,More than 10 years,Python,120000,1,120000
3670,USD,Male,United States,26,Employed full-time,NA,NA,Yes,NA,Engineer,Poorly,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Electrical Engineering,3 to 5 years,Python,85000,1,85000
3671,USD,Male,United States,32,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Doctoral degree,Electrical Engineering,6 to 10 years,Python,120000,1,120000
3672,USD,Male,United States,40,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by college or university,NA,Doctoral degree,Biology,More than 10 years,Python,108000,1,108000
3673,USD,Female,United States,31,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by college or university,No,Doctoral degree,A health science,3 to 5 years,SQL,47500,1,47500
3674,USD,Male,United States,46,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by company that makes advanced analytic software,NA,Some college/university study without earning a bachelor's degree,Computer Science,More than 10 years,Python,135000,1,135000
3675,USD,Male,United States,48,Employed full-time,NA,NA,Yes,NA,Data Analyst,Poorly,"Employed by a company that performs advanced analytics,Self-employed",Sort of (Explain more),Master's degree,Computer Science,3 to 5 years,R,130000,1,130000
3676,USD,Male,United States,37,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by a company that performs advanced analytics,No,Master's degree,NA,6 to 10 years,Python,175000,1,175000
3677,USD,Male,United States,46,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,NA,Bachelor's degree,Computer Science,6 to 10 years,R,180000,1,180000
3678,USD,Male,United States,60,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,No,Master's degree,Computer Science,More than 10 years,Python,75000,1,75000
3679,USD,Male,United States,29,Employed full-time,NA,NA,Yes,NA,Data Analyst,Poorly,Employed by a company that performs advanced analytics,Yes,Master's degree,NA,3 to 5 years,Python,92000,1,92000
3680,USD,Male,United States,31,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,Employed by college or university,Yes,Doctoral degree,Electrical Engineering,More than 10 years,Python,85000,1,85000
3681,USD,Male,United States,36,Employed full-time,NA,NA,Yes,NA,Predictive Modeler,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Master's degree,Mathematics or statistics,More than 10 years,Python,210000,1,210000
3682,USD,Female,United States,27,Employed part-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Physics,3 to 5 years,R,83200,1,83200
3683,USD,Female,United States,47,Employed full-time,NA,NA,Yes,NA,Data Miner,Fine,Employed by a company that performs advanced analytics,No,Master's degree,Mathematics or statistics,More than 10 years,SQL,67500,1,67500
3684,USD,Male,United States,33,Employed full-time,NA,NA,Yes,NA,Other,Perfectly,Employed by a company that performs advanced analytics,No,Bachelor's degree,Mathematics or statistics,3 to 5 years,R,95000,1,95000
3685,USD,Male,United States,32,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Perfectly,Employed by professional services/consulting firm,Yes,Master's degree,Electrical Engineering,6 to 10 years,Java,85000,1,85000
3686,USD,Male,United States,41,Employed full-time,NA,NA,Yes,NA,Other,Fine,Self-employed,No,Master's degree,Computer Science,1 to 2 years,Python,240000,1,240000
3687,USD,Female,United States,34,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,"Employed by college or university,Employed by government",NA,Master's degree,Physics,3 to 5 years,Python,110000,1,110000
3688,USD,Male,United States,52,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Doctoral degree,Electrical Engineering,More than 10 years,SQL,0,1,0
3689,USD,Female,United States,47,Employed full-time,NA,NA,Yes,NA,Statistician,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Doctoral degree,Electrical Engineering,More than 10 years,R,175000,1,175000
3690,USD,Female,United States,41,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by non-profit or NGO,NA,Some college/university study without earning a bachelor's degree,A health science,More than 10 years,R,120000,1,120000
3691,USD,Male,United States,38,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by professional services/consulting firm,NA,Doctoral degree,Engineering (non-computer focused),6 to 10 years,Python,180000,1,180000
3692,USD,A different identity,United States,48,Employed full-time,NA,NA,Yes,NA,Computer Scientist,Fine,Employed by a company that performs advanced analytics,Yes,Doctoral degree,Computer Science,More than 10 years,Python,150000,1,150000
3693,USD,Male,United States,38,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",NA,Doctoral degree,Computer Science,More than 10 years,Python,150000,1,150000
3694,USD,Male,United States,26,Employed full-time,NA,NA,Yes,NA,Data Analyst,Perfectly,Employed by non-profit or NGO,Yes,Bachelor's degree,Other,3 to 5 years,Python,50000,1,50000
3695,USD,Male,United States,34,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by company that makes advanced analytic software,Yes,Doctoral degree,Physics,More than 10 years,Python,195000,1,195000
3696,USD,Male,United States,52,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,Employed by a company that performs advanced analytics,Yes,Professional degree,NA,More than 10 years,NA,2.00E+05,1,2.00E+05
3697,USD,Female,United States,41,Employed full-time,NA,NA,Yes,NA,Other,Poorly,Employed by a company that performs advanced analytics,Yes,Doctoral degree,Other,3 to 5 years,Python,140000,1,140000
3698,USD,Male,United States,31,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,NA,Bachelor's degree,Electrical Engineering,6 to 10 years,Python,95000,1,95000
3699,USD,Male,United States,27,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Mathematics or statistics,3 to 5 years,Python,70000,1,70000
3700,USD,Male,United States,30,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by company that makes advanced analytic software,NA,Doctoral degree,NA,6 to 10 years,Python,150000,1,150000
3701,USD,Female,United States,33,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by college or university,No,Doctoral degree,Engineering (non-computer focused),More than 10 years,Python,55900,1,55900
3702,USD,Male,United States,40,Employed full-time,NA,NA,Yes,NA,Engineer,Fine,"Employed by a company that performs advanced analytics,Employed by a company that doesn't perform advanced analytics,Employed by non-profit or NGO",Yes,Bachelor's degree,Computer Science,More than 10 years,SQL,103000,1,103000
3703,USD,Female,United States,29,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by company that makes advanced analytic software,NA,Master's degree,Mathematics or statistics,6 to 10 years,Python,150000,1,150000
3704,USD,Male,United States,25,Employed full-time,NA,NA,Yes,NA,Data Analyst,Poorly,Employed by a company that performs advanced analytics,Sort of (Explain more),Master's degree,Computer Science,3 to 5 years,Python,82500,1,82500
3705,USD,Male,United States,25,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,NA,Master's degree,Mathematics or statistics,1 to 2 years,Python,1.00E+05,1,1.00E+05
3706,USD,Male,United States,30,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Physics,3 to 5 years,Python,130000,1,130000
3707,USD,Female,United States,24,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Master's degree,Electrical Engineering,3 to 5 years,Python,140000,1,140000
3708,USD,Female,United States,37,Employed full-time,NA,NA,Yes,NA,Computer Scientist,Fine,Self-employed,No,Bachelor's degree,Computer Science,More than 10 years,R,150000,1,150000
3709,USD,Male,United States,31,Employed part-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by non-profit or NGO,Yes,Master's degree,Psychology,3 to 5 years,R,25000,1,25000
3710,USD,Male,United States,30,Employed part-time,NA,NA,Yes,NA,Other,Fine,Employed by college or university,Sort of (Explain more),Bachelor's degree,A humanities discipline,Less than a year,Python,20000,1,20000
3711,USD,Male,United States,40,Employed full-time,NA,NA,Yes,NA,Business Analyst,Poorly,Employed by professional services/consulting firm,Yes,Master's degree,A social science,6 to 10 years,R,70000,1,70000
3712,USD,Female,United States,25,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by non-profit or NGO,NA,Master's degree,NA,3 to 5 years,SQL,68000,1,68000
3713,USD,Male,United States,27,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Mathematics or statistics,3 to 5 years,R,130000,1,130000
3714,USD,Male,United States,28,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,"Employed by professional services/consulting firm,Employed by a company that performs advanced analytics",No,Bachelor's degree,Computer Science,Less than a year,Python,110000,1,110000
3715,USD,Male,United States,29,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Scientist,Fine,Self-employed,NA,Master's degree,Mathematics or statistics,3 to 5 years,Python,54000,1,54000
3716,USD,Male,United States,25,Employed part-time,NA,NA,Yes,NA,Computer Scientist,Fine,Employed by college or university,No,Bachelor's degree,Computer Science,1 to 2 years,Python,36000,1,36000
3717,USD,Male,United States,31,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by company that makes advanced analytic software,NA,Master's degree,Engineering (non-computer focused),More than 10 years,Matlab,106000,1,106000
3718,USD,Female,United States,25,Employed full-time,NA,NA,Yes,NA,Predictive Modeler,Fine,Employed by company that makes advanced analytic software,Sort of (Explain more),Master's degree,Computer Science,1 to 2 years,Python,90000,1,90000
3719,USD,Female,United States,48,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by government,NA,Doctoral degree,Mathematics or statistics,6 to 10 years,Python,160000,1,160000
3720,USD,Male,United States,67,Employed full-time,NA,NA,Yes,NA,Computer Scientist,Fine,Employed by college or university,Yes,Doctoral degree,A humanities discipline,More than 10 years,Python,120000,1,120000
3721,USD,Male,United States,28,Employed full-time,NA,NA,Yes,NA,Data Analyst,Perfectly,Employed by a company that performs advanced analytics,Sort of (Explain more),Master's degree,Electrical Engineering,3 to 5 years,Python,70700,1,70700
3722,USD,Male,United States,37,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by company that makes advanced analytic software,NA,Master's degree,Engineering (non-computer focused),More than 10 years,Python,145000,1,145000
3723,USD,Male,United States,32,Employed full-time,NA,NA,Yes,NA,Engineer,NA,Employed by company that makes advanced analytic software,No,Bachelor's degree,Computer Science,1 to 2 years,Python,112000,1,112000
3724,USD,Male,United States,39,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,NA,Master's degree,Computer Science,More than 10 years,SQL,130000,1,130000
3725,USD,Male,United States,34,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Bachelor's degree,Electrical Engineering,More than 10 years,Python,350000,1,350000
3726,USD,Male,United States,30,Employed full-time,NA,NA,Yes,NA,Data Scientist,Poorly,Employed by a company that performs advanced analytics,NA,Doctoral degree,Physics,3 to 5 years,Python,160000,1,160000
3727,USD,Male,United States,49,Employed full-time,NA,NA,Yes,NA,Statistician,Fine,Employed by a company that performs advanced analytics,Yes,Doctoral degree,Mathematics or statistics,More than 10 years,Python,230000,1,230000
3728,USD,Female,United States,30,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Master's degree,NA,3 to 5 years,SQL,65000,1,65000
3729,USD,Male,United States,21,Employed full-time,NA,NA,Yes,NA,Engineer,Poorly,Employed by government,No,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,NA,55000,1,55000
3730,USD,Female,United States,28,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",NA,Bachelor's degree,Fine arts or performing arts,1 to 2 years,Python,90000,1,90000
